query,recipe_id,publisher,source_url,image_url,social_rank,publisher_url,title,sum_cal,sum_fat,sum_carb,sum_protein
carrot,35169,Closet Cooking,http://www.closetcooking.com/2011/11/buffalo-chicken-chowder.html,http://forkify-api.herokuapp.com/images/Buffalo2BChicken2BChowder2B5002B0075c131caa8.jpg,100.0,http://closetcooking.com,Buffalo Chicken Chowder,1716.5044105,36.712325320000005,169.4496,172.05543469999998
carrot,35171,Closet Cooking,http://www.closetcooking.com/2011/08/buffalo-chicken-grilled-cheese-sandwich.html,http://forkify-api.herokuapp.com/images/Buffalo2BChicken2BGrilled2BCheese2BSandwich2B5002B4983f2702fe4.jpg,100.0,http://closetcooking.com,Buffalo Chicken Grilled Cheese Sandwich,136.56099999999998,10.121799999999999,5.510299999999999,5.949400000000001
carrot,47893,101 Cookbooks,http://www.101cookbooks.com/archives/kale-market-salad-recipe.html,http://forkify-api.herokuapp.com/images/kale_market_saladd20e.jpg,100.0,http://www.101cookbooks.com,Kale Market Salad,1396.5557549184998,93.65376713115002,133.62473278700003,24.78645663935
carrot,36259,Simply Recipes,http://www.simplyrecipes.com/recipes/easy_shepherds_pie/,http://forkify-api.herokuapp.com/images/shepherdspie300x2003d240a98.jpg,100.0,http://simplyrecipes.com,Easy Shepherd&#8217;s Pie,2568.3425748500003,132.299871805,133.43245435000003,194.36959540000007
carrot,47233,The Pioneer Woman,http://thepioneerwoman.com/cooking/2009/05/ryans-bolognese-sauce/,http://forkify-api.herokuapp.com/images/3544277679_04bcd3011b51c3.jpg,100.0,http://thepioneerwoman.com,Pastor Ryan’s Bolognese Sauce,3894.5140085760004,301.9836847978,111.80009740720001,165.47541957779995
carrot,46993,The Pioneer Woman,http://thepioneerwoman.com/cooking/2011/09/2008_the_year_of_the_pot_roast/,http://forkify-api.herokuapp.com/images/potroast4564.jpg,99.99999999999999,http://thepioneerwoman.com,Pot Roast,404.59200000000004,17.058999999999997,46.965999999999994,18.14
carrot,47269,The Pioneer Woman,http://thepioneerwoman.com/cooking/2009/01/cauliflower-soup/,http://forkify-api.herokuapp.com/images/cauliflowersoupb21e.jpg,99.99999999999994,http://thepioneerwoman.com,Cauliflower Soup,422.790455738,19.752209389,48.0844780626,14.8483885544
carrot,46879,The Pioneer Woman,http://thepioneerwoman.com/cooking/2013/01/perfect-potato-soup/,http://forkify-api.herokuapp.com/images/potatosoup66f2.jpg,99.99999999999993,http://thepioneerwoman.com,Perfect Potato Soup,518.3391,20.2542,66.8642,23.4765
carrot,47070,The Pioneer Woman,http://thepioneerwoman.com/cooking/2010/12/chicken-and-dumplings/,http://forkify-api.herokuapp.com/images/5258969545_eeb0c35356_o7eee.jpg,99.99999999999993,http://thepioneerwoman.com,Chicken and Dumplings,774.7756923999999,27.996034262299997,61.36395231000001,69.51181848
carrot,54419,Two Peas and Their Pod,http://www.twopeasandtheirpod.com/vegetarian-quinoa-chili/,http://forkify-api.herokuapp.com/images/quinoachili15b76.jpg,99.9999999999998,http://www.twopeasandtheirpod.com,Vegetarian Quinoa Chili,2737.036671845,19.5764568555,508.64068964449996,164.46969634949997
carrot,47167,The Pioneer Woman,http://thepioneerwoman.com/cooking/2010/01/homemade-chicken-and-noodles/,http://forkify-api.herokuapp.com/images/4302390134_8a04478597_oc153.jpg,99.99999999999358,http://thepioneerwoman.com,Homemade Chicken and Noodles,841.5132700479998,11.677589761599998,145.5693424,37.552056632
carrot,35168,Closet Cooking,http://www.closetcooking.com/2012/04/buffalo-chicken-chili.html,http://forkify-api.herokuapp.com/images/Buffalo2BChicken2BChili2B5002B9548b7d71737.jpg,99.99999999999191,http://closetcooking.com,Buffalo Chicken Chili,1572.542629525,75.50710347200001,96.169512817,138.59831626250002
carrot,3a6137,Two Peas and Their Pod,http://www.twopeasandtheirpod.com/asian-quinoa-salad/,http://forkify-api.herokuapp.com/images/AsianQuinoaSalad1c875.jpg,99.99999999997597,http://www.twopeasandtheirpod.com,Asian Quinoa Salad,242.6978,8.57665,36.518225,11.277700000000001
carrot,055aae,Chow,http://www.chow.com/recipes/30507-spicy-thai-coconut-quinoa,http://forkify-api.herokuapp.com/images/30507_RecipeImage_620x413_spicy_thai_coconut_quinoaa3db.jpg,99.99999999996051,http://www.chow.com,Spicy Thai Coconut Quinoa Recipe,1922.0151699019996,135.51914380586666,158.01023921526672,62.57851231019999
carrot,49640,Bon Appetit,http://www.bonappetit.com/recipes/2011/10/red-wine-braised-short-ribs,http://forkify-api.herokuapp.com/images/Red_Wine_Braised_Short_Ribs_646a119.jpg,99.99999999993693,http://www.bonappetit.com,Red Wine-Braised Short Ribs,6629.461125000001,371.0703774999999,144.6264,637.0139810000002
carrot,aad814,Jamie Oliver,http://www.jamieoliver.com/recipes/chicken-recipes/perfect-roast-chicken,http://forkify-api.herokuapp.com/images/390_1_1350903747_lrg0b42.jpg,99.999999999897,http://www.jamieoliver.com,Perfect roast chicken,3770.34,144.171,86.17200000000001,511.279
carrot,46876,The Pioneer Woman,http://thepioneerwoman.com/cooking/2013/01/sunday-night-stew/,http://forkify-api.herokuapp.com/images/stew26d82.jpg,99.9999999998818,http://thepioneerwoman.com,Sunday Night Stew,5677.928072716001,260.0689623288,480.9030749472,319.48721950439995
carrot,9cf486,Smitten Kitchen,http://smittenkitchen.com/blog/2013/01/carrot-soup-with-tahini-and-crisped-chickpeas/,http://forkify-api.herokuapp.com/images/8339826009_36377776f160dc.jpg,99.99999999975509,http://www.smittenkitchen.com,carrot soup with tahini and crisped chickpeas,3570.9488,263.6728,270.55640000000005,72.87479999999998
